id,domain,platform,severity,result,status,effort,confidence,title,affected_files,recommendation
SEC-BACKOFFICE-DP-001,security,backoffice,high,fail,open,S,high,Dependencia vulnerable: react-router-dom (6.0.0-alpha.0 - 6.30.2),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-DP-002,security,backoffice,high,fail,open,S,high,Dependencia vulnerable: react-router (6.0.0 - 7.17.0),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-DP-003,security,backoffice,high,fail,open,S,high,Dependencia vulnerable: @remix-run/router (<=1.23.2),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-DP-004,security,backoffice,high,fail,open,S,high,Dependencia vulnerable: nanoid (<3.3.18),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-DP-005,security,backoffice,high,fail,open,S,high,Dependencia vulnerable: brace-expansion (<=1.1.17 || 2.0.0 - 2.1.3),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-EP-001,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: DELETE /administration/expenses/{id},src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-002,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: DELETE /auth/users/{id},src/api/permissions.ts | src/pages/CapturerAccountPage.tsx,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-003,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: DELETE /backoffice/permissions/users/{id}/permissions/{id},src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-005,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/advertising-orders,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-006,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/advertising-orders/{id}/documento/sugerencia,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-007,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/advertising-orders/{id}/documento/url,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-008,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/bootstrap,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-009,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/capturer-withdrawals,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-010,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/capturer-withdrawals/{id}/receipt,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-011,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/configuracion-pagos,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-012,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/expenses,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-013,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/partner-withdrawals,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-014,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/sale-receipts/{id}/url,src/api/saleReceipts.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-015,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/socios,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-016,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/withdrawal-payments,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-017,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/withdrawal-payments/{id},src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-018,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/withdrawals,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-019,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/withdrawals/{id}/details,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-020,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/withdrawals/{id}/liquidation-document,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-021,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /administration/workspace,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-026,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /backoffice/founders/config,src/api/founders.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-027,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /backoffice/permissions/users/search,src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-028,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: GET /backoffice/permissions/users/{id},src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-063,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /administration/capturer-withdrawals/{id}/pay,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-064,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /administration/capturer-withdrawals/{id}/reject,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-065,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /administration/partner-withdrawals/{id}/pay,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-066,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /administration/withdrawals/{id}/pay,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-067,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /administration/withdrawals/{id}/reject,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-069,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /anuncios/{id}/approve,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-070,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /anuncios/{id}/reject,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-073,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /backoffice/founders/{id},src/api/founders.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-074,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /mediations/{id}/block-account,src/api/mediations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-078,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /sellers/{id}/suspend,src/api/sellers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-081,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/anuncios/{id}/approve,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-082,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/anuncios/{id}/reject,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-084,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/capturers/{id}/approve,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-085,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/capturers/{id}/reject,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-086,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/{id}/approve,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-087,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PATCH /validations/{id}/reject,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-089,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/advertising-orders/{id}/documento,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-090,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/capturer-withdrawals/process,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-091,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/expenses,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-092,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/liquidation-documents,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-093,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/partner-withdrawals,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-094,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /administration/withdrawal-payments,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-096,security,backoffice,high,unverified,open,S,low,Endpoint sin sesion: POST /auth/backoffice/activate,src/pages/ActivateEmployeePage.tsx,"Aplicar limite de tasa por IP y por identificador, respuestas genericas y de tiempo constante, y anti-automatizacion en los flujos de credenciales."
SEC-BACKOFFICE-EP-109,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /backoffice/permissions/invitations,src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-110,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /backoffice/permissions/users/{id}/resend-invitation,src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-115,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /mediations/{id}/reactivate,src/api/mediations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-116,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /mediations/{id}/resolve,src/api/mediations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-123,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /validations/anuncios/{id}/approve,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-124,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: POST /validations/anuncios/{id}/reject,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-125,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PUT /administration/configuracion-pagos,src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-126,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PUT /administration/expenses/{id},src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-127,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PUT /administration/socios/{id},src/api/administration.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-128,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PUT /backoffice/founders/config,src/api/founders.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-129,security,backoffice,high,unverified,open,S,low,Autorizacion de servidor no verificable: PUT /backoffice/permissions/users/{id},src/api/permissions.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-NW-001,security,backoffice,high,fail,open,S,medium,Sink fetch con token fuera de apiClient: downloadDocument,src/utils/documentUrls.ts,Reutilizar requiresBackofficeToken de useAuthedImage antes de adjuntar el token.
SEC-BACKOFFICE-NW-002,security,backoffice,high,fail,open,S,medium,Sink fetch con token fuera de apiClient: previewDocument,src/utils/documentUrls.ts,Reutilizar requiresBackofficeToken de useAuthedImage antes de adjuntar el token.
SEC-BACKOFFICE-NW-003,security,backoffice,high,fail,open,S,medium,Sink fetch con token fuera de apiClient: DocumentPreview,src/components/shared/DocumentPreview.tsx,Reutilizar requiresBackofficeToken de useAuthedImage antes de adjuntar el token.
SEC-BACKOFFICE-RT-015,security,backoffice,high,partial,open,S,high,Ruta /configuracion -> guarda de cliente: RequireSuperAdmin,src/App.tsx,Emparejar cada guarda de ruta con la regla equivalente en el servidor para los endpoints que esa pantalla consume.
SEC-BACKOFFICE-RT-016,security,backoffice,high,partial,open,S,high,Ruta /retiros -> guarda de cliente: RequireSuperAdmin,src/App.tsx,Emparejar cada guarda de ruta con la regla equivalente en el servidor para los endpoints que esa pantalla consume.
SEC-BACKOFFICE-TK-001,security,backoffice,high,fail,open,S,high,Punto de sesion: Clave de almacenamiento del token,src/context/AuthContext.tsx,Ver SEC-BACKOFFICE-006.
SEC-BACKOFFICE-TK-004,security,backoffice,high,fail,open,S,high,Punto de sesion: getStoredToken: lee de sessionStorage y localStorage,src/context/AuthContext.tsx,Ver SEC-BACKOFFICE-006.
SEC-BACKOFFICE-TK-005,security,backoffice,high,fail,open,S,high,Punto de sesion: storeToken: 'mantener sesion' persiste en localStorage,src/context/AuthContext.tsx,Ver SEC-BACKOFFICE-006.
SEC-BACKOFFICE-TK-010,security,backoffice,high,fail,open,S,high,"Punto de sesion: logout: solo local, sin revocacion en servidor",src/context/AuthContext.tsx,Ver SEC-BACKOFFICE-007.
SEC-BACKOFFICE-TK-014,security,backoffice,high,fail,open,S,high,Punto de sesion: getAuthToken: segunda lectura del token fuera de AuthContext,src/utils/documentUrls.ts,Ver SEC-BACKOFFICE-006.
SEC-BACKOFFICE-008,security,backoffice,medium,fail,open,S,high,Sin interceptor de respuesta: un 401 no termina la sesion ni redirige al login,src/api/client.ts | src/context/AuthContext.tsx,"Anadir un interceptor de respuesta en apiClient que ante 401 limpie el estado de autenticacion, invalide la cache de react-query y redirija a /login."
SEC-BACKOFFICE-009,security,backoffice,medium,fail,open,S,high,La separacion entre acceso de personal y de captador se aplica despues de emitir el token,src/pages/LoginPage.tsx | src/context/AuthContext.tsx,"Que /auth/backoffice/login rechace en el servidor las identidades que no sean personal, devolviendo 403 sin emitir token. El cliente no debe decidir el contexto de acceso."
SEC-BACKOFFICE-011,security,backoffice,medium,fail,open,S,medium,Redireccion abierta al fallar la vista previa de un documento,src/utils/documentUrls.ts | src/components/mediations/modals/BlockedAccountHistoryModal.tsx | src/components/mediations/modals/ResolvedCaseTimelineModal.tsx | src/components/mediations/modals/ResolvedCaseSummaryModal.tsx,"Validar en resolveDocumentUrl que el origen resultante sea API_ORIGIN o una lista blanca explicita; ante cualquier otro origen, mostrar un error en vez de navegar. Mantener rel=noreferrer en los enlaces."
SEC-BACKOFFICE-015,security,backoffice,medium,fail,open,M,high,Sin Content-Security-Policy ni HSTS en las cabeceras publicadas por Vercel,vercel.json,Anadir Strict-Transport-Security: max-age=31536000; includeSubDomains y una CSP restrictiva (default-src 'self'; connect-src 'self' <origen de la API>; img-src 'self' data: blob: <origen de la API>; frame-ancestors 'none'; object-src 'none'; base-uri 'none'). Sustituir X-XSS-Protection por el valor 0 o retirarla. Nota: la pagina de login inyecta estilos con una etiqueta <style> en linea (src/pages
SEC-BACKOFFICE-016,security,backoffice,medium,fail,open,S,high,El Dockerfile arranca el servidor de desarrollo de Vite escuchando en 0.0.0.0 y como root,backoffice/frontend/Dockerfile | backoffice/frontend/.dockerignore,"Build multietapa: compilar con npm run build y servir dist con un servidor estatico minimo bajo un usuario sin privilegios (USER node o un uid dedicado). Anadir .env y .env.* al .dockerignore. Si la imagen es solo para desarrollo local, dejarlo explicito en el nombre del fichero (Dockerfile.dev) y en el README."
SEC-BACKOFFICE-CF-001,security,backoffice,medium,fail,open,S,high,Artefacto de configuracion: vercel.json (cabeceras de seguridad),vercel.json,Ver SEC-BACKOFFICE-015.
SEC-BACKOFFICE-CF-002,security,backoffice,medium,fail,open,S,high,Artefacto de configuracion: backoffice/frontend/Dockerfile,backoffice/frontend/Dockerfile,Ver SEC-BACKOFFICE-016.
SEC-BACKOFFICE-DP-006,security,backoffice,medium,fail,open,M,high,Dependencia vulnerable: exceljs (>=3.5.0),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-DP-007,security,backoffice,medium,fail,open,M,high,Dependencia vulnerable: uuid (<11.1.1),backoffice/frontend/package.json | backoffice/frontend/package-lock.json,"Actualizar react-router-dom a la ultima 6.x parcheada (arrastra react-router y @remix-run/router); para exceljs/uuid, evaluar el downgrade que propone npm audit frente a fijar uuid por resolutions antes de aplicarlo, porque exceljs genera la nomina bancaria."
SEC-BACKOFFICE-EP-004,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: DELETE /mediations/{id}/messages/{id},src/api/mediations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-022,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /anuncios,src/api/validations.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-023,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /audits/{id},src/api/audits.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-024,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /auth/me,src/api/auth.ts | src/context/AuthContext.tsx,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-025,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /backoffice/capturers,src/api/capturers.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-035,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /dashboard/summary,src/api/dashboard.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
SEC-BACKOFFICE-EP-036,security,backoffice,medium,unverified,open,S,low,Autorizacion de servidor no verificable: GET /feedback,src/api/feedback.ts,Declarar la regla de autorizacion de este endpoint en el servidor y cubrirla con una prueba negativa por rol.
